Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;;Philosophy Of Truth;202420;Spring 2024;002;16955;Asay, Jamin F.;15.8%;31.6%;;;15.8%;5.3%;10.5%;;10.5%;;;;5.3%;;;5.3%;;;;;;;;
;;;Philosophy Of Truth-Honors;202420;Spring 2024;002;16955;Asay, Jamin F.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;50500;Islamic/Jewish Phil;202420;Spring 2024;001;16956;Frank, Daniel H.;16.7%;33.3%;;16.7%;;;16.7%;;;;;;;;;8.3%;;;;;;;8.3%;
;;53500;Studies Philos Mind;202420;Spring 2024;001;16964;Kelly, Daniel R.;53.8%;23.1%;7.7%;7.7%;;;7.7%;;;;;;;;;;;;;;;;;
;;55300;Mathematical Logic;202420;Spring 2024;001;26818;Tulodziecki, Dana;45.5%;18.2%;;;9.1%;;18.2%;;;;;;;;9.1%;;;;;;;;;
PHPR;PHPR-Pharmacy Practice;42700;Pham Leadership Sem;202420;Spring 2024;001;33292;Scott, Steven A.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;48900;Comp And Alternative Meds;202420;Spring 2024;001;13004;Koh-Knox Sharp, Cynthia P.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;49000;Veterinary Pharmacotherapy;202420;Spring 2024;028;16373;Anderson, Melinda J.;19.4%;;72.2%;;;;;;;;;;;;;;;8.3%;;;;;;
PHRM;PHRM-Pharmacy;31600;Drug Abuse/Addiction Education;202420;Spring 2024;001;64492;Krause, Jane E.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;40500;Mindfulness;202420;Spring 2024;001;21631;Koh-Knox Sharp, Cynthia P.;96.3%;;;;;;;;;;;;;;;;;;;;;;3.7%;
;;41000;Professional Communications;202420;Spring 2024;001;21635;Koh-Knox Sharp, Cynthia P.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;42500;PHARM Lead & Innovate Forum;202420;Spring 2024;001;18069;Darbishire, Patricia L.;77.8%;;;;16.7%;;;;;;;;;;5.6%;;;;;;;;;
;;42900;Dosage Forms II;202420;Spring 2024;001;11606;Yeo, Yoon;14.3%;;10.2%;;6.1%;8.2%;2.0%;16.3%;;;8.2%;6.1%;8.2%;;16.3%;;;;;;;;4.1%;
;;46100;Drug Discovery & Developmt II;202420;Spring 2024;001;15013;Matosevic, Sandro;83.9%;;;;12.9%;;;3.2%;;;;;;;;;;;;;;;;
;;46400;Preparing For Residency;202420;Spring 2024;001;11351;Miller, Monica L.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;48500;Intercult & Global Hlth Issues;202420;Spring 2024;002;11350;Koh-Knox Sharp, Cynthia P.;95.7%;;;;4.3%;;;;;;;;;;;;;;;;;;;
;;49000;Intro Ldrshp In Pharmacy Pract;202420;Spring 2024;024;15960;Degnan, Daniel D.;93.8%;;6.3%;;;;;;;;;;;;;;;;;;;;;
;;;PUP Teaching Assistant;202420;Spring 2024;030;21487;Ades, Ryan S.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
;;69500;Intro Pharm Science Research;202420;Spring 2024;001;13492;Yang, Danzhou;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;82100;Professional Skills Lab II;202420;Spring 2024;001;62451;Woodyard, Jamie L.;97.4%;;;;2.6%;;;;;;;;;;;;;;;;;;;
;;;;;;002;62454;Woodyard, Jamie L.;97.1%;;;;2.9%;;;;;;;;;;;;;;;;;;;
;;;;;;003;62452;Woodyard, Jamie L.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;004;62453;Woodyard, Jamie L.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;82200;Pharm Skills & Patient Counsel;202420;Spring 2024;009;18079;Ades, Ryan S.;69.2%;;;;17.9%;;;7.7%;;;;;;;5.1%;;;;;;;;;
;;;;;;LP2;64447;Hettinger, Katelyn N.;60.0%;;;;25.0%;;;7.5%;;;;;;;7.5%;;;;;;;;;
;;82500;Integr Pharmther I;202420;Spring 2024;001;63346;Park, Chiwook;9.6%;5.1%;;;20.4%;15.3%;13.4%;17.8%;;12.7%;;;;;4.5%;;;;;;;;1.3%;
;;82900;Dosage Forms II;202420;Spring 2024;001;62852;Yeo, Yoon;13.9%;;17.4%;;12.5%;11.8%;6.3%;21.5%;;10.4%;3.5%;0.7%;;;1.4%;;;;;;;;0.7%;
;;83100;Health Care Systems;202420;Spring 2024;001;63349;Newton, Gail D.;99.3%;;;;0.7%;;;;;;;;;;;;;;;;;;;
;;;Health Care Systems-Honors;202420;Spring 2024;001;63349;Newton, Gail D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;83500;Principles Of Pharmacokinetics;202420;Spring 2024;001;15855;Jeong, Hyunyoung;14.8%;11.6%;17.4%;;14.8%;9.7%;18.7%;5.8%;;6.5%;;;;;0.6%;;;;;;;;;
;;83900;Interprofessional Education II;202420;Spring 2024;001;10761;Weber, Zachary A.;;;;;;;;;;;;;;;;;0.7%;99.3%;;;;;;
;;84100;Prof Skills Lab IV;202420;Spring 2024;001;68999;Baker, Chelsea M.;94.7%;;;;5.3%;;;;;;;;;;;;;;;;;;;
;;;;;;002;69000;Baker, Chelsea M.;83.8%;;;;16.2%;;;;;;;;;;;;;;;;;;;
;;;;;;003;68996;Baker, Chelsea M.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;004;68998;Baker, Chelsea M.;76.2%;;;;23.8%;;;;;;;;;;;;;;;;;;;
;;84500;Integrated Pharmacotherapy III;202420;Spring 2024;001;68993;Campbell, Noll L.;11.0%;6.6%;;;22.8%;14.0%;10.3%;22.8%;;12.5%;;;;;;;;;;;;;;
;;84700;Pharmacogenomics;202420;Spring 2024;001;68994;Overholser, Brian R.;25.2%;12.6%;;;28.1%;5.2%;19.3%;4.4%;;5.2%;;;;;;;;;;;;;;
;;84900;Population Health Mgmt;202420;Spring 2024;001;68995;Scott, Steven A.;45.2%;;;;51.9%;;;3.0%;;;;;;;;;;;;;;;;
;;85500;Interprofessional Education IV;202420;Spring 2024;001;21309;Weber, Zachary A.;;;;;;;;;;;;;;;;;0.7%;99.3%;;;;;;
;;86100;Professional Skills Lab VI;202420;Spring 2024;001;10364;Degnan, Daniel D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;002;10360;Degnan, Daniel D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;003;10367;Degnan, Daniel D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;004;10366;Degnan, Daniel D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;86500;Integrated Pharmacotherapy V;202420;Spring 2024;001;10370;Kays, Michael B.;7.0%;5.6%;;;14.8%;15.5%;11.3%;24.6%;;20.4%;;;;;0.7%;;;;;;;;;
;;86700;Intro To Adv Pharm Pract Exper;202420;Spring 2024;002;23120;Shepler, Brian M.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
;;86900;Pract Mgmt & Marketing -Honors;202420;Spring 2024;001;10372;Hultgren, Kyle E.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;Pract Mgmt And Marketing;202420;Spring 2024;001;10372;Hultgren, Kyle E.;93.8%;;;;5.6%;;;0.7%;;;;;;;;;;;;;;;;
;;87100;Jurisprudence;202420;Spring 2024;002;22032;Villa, Kristin R.;87.0%;;;;12.3%;;;0.7%;;;;;;;;;;;;;;;;
;;88000;Adv Pharm Practice Exp;202420;Spring 2024;009;60034;Faculty, TBA;;;;;;;;;;;;;;;;;;100.0%;;;;;;
;;;;;;010;60035;Shepler, Brian M.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
;;;;;;011;60037;Shepler, Brian M.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
;;;;;;012;60038;Shepler, Brian M.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
PHYS;PHYS-Physics;17200;Modern Mechanics;202420;Spring 2024;068;18262;Low-Nam, Shalini T.;14.5%;17.3%;12.5%;;13.7%;8.5%;13.7%;4.8%;1.6%;9.3%;;;0.4%;;0.8%;;;;;;;;2.8%;
;;;;;;069;18264;Austin, Robert A.;15.8%;11.9%;14.6%;;15.0%;10.3%;11.1%;4.0%;0.8%;10.7%;;;1.2%;;1.2%;;;;;;;;3.6%;
;;;;;;070;18267;Pushkar, Yulia N.;15.5%;10.8%;8.4%;;14.3%;10.0%;14.7%;4.4%;2.8%;12.4%;;0.4%;;;2.4%;;;;;;;;4.0%;
;;;;;;071;18268;Route, Matthew P.;15.3%;16.1%;11.2%;;18.1%;10.4%;8.0%;4.0%;1.6%;8.8%;1.2%;;1.2%;;;;;;;;;;4.0%;
;;;;;;072;18271;Route, Matthew P.;17.1%;13.9%;10.6%;;15.9%;7.3%;15.9%;3.3%;1.6%;9.4%;0.4%;;1.6%;;1.6%;;;;;;;;1.2%;
;;;;;;073;18272;Nie, Laimei;20.2%;13.0%;6.9%;;18.6%;6.5%;13.0%;3.6%;1.6%;10.5%;0.4%;0.4%;1.2%;;2.0%;;;;;;;;2.0%;
;;;Modern Mechanics-Honors;202420;Spring 2024;073;18272;Nie, Laimei;;;;;;;;;;;;100.0%;;;;;;;;;;;;
;;21400;The Nature Of Physics;202420;Spring 2024;001;25673;Koltick, David S.;19.4%;;;;29.0%;;;29.0%;;;12.9%;;;;;;;;;;;;9.7%;
;;22000;Gen Physics;202420;Spring 2024;001;25707;Gerber, Jeffrey M.;9.0%;8.5%;2.1%;;10.1%;8.0%;5.3%;5.9%;6.4%;16.0%;4.3%;1.6%;8.0%;;10.6%;;0.5%;0.5%;;;;;3.2%;
;;;;;;002;25708;Zhu, Tiancong;4.0%;8.5%;2.0%;;13.0%;10.5%;13.0%;9.0%;5.0%;11.5%;2.0%;1.5%;6.5%;;7.5%;0.5%;;1.0%;;;;;4.5%;
;;;;;;003;11270;Gerber, Jeffrey M.;4.1%;8.7%;3.2%;;8.2%;11.0%;10.5%;8.2%;10.0%;12.8%;2.3%;3.2%;7.8%;;5.9%;;;0.5%;;;;;3.7%;
;;22100;Gen Physics;202420;Spring 2024;001;25728;Fischbach, Ephraim;27.1%;;2.9%;;9.4%;8.2%;12.9%;7.6%;5.9%;10.6%;1.8%;;7.6%;;1.2%;;;;;;;;4.7%;
;;;;;;002;25729;Fischbach, Ephraim;29.6%;;4.7%;;10.1%;9.3%;14.8%;4.3%;6.2%;11.7%;0.4%;0.4%;1.9%;;2.7%;;;;;;;;3.9%;
;;23000;Physical Sci For Elem Educ;202420;Spring 2024;001;22997;Rebello, Nobel S.;14.0%;16.3%;16.3%;;16.3%;2.3%;27.9%;;;2.3%;;;;;4.7%;;;;;;;;;
;;23300;Physics For Life Sci I;202420;Spring 2024;001;13026;Arnold, Ian A.;15.6%;21.9%;6.3%;;12.5%;15.6%;9.4%;6.3%;;6.3%;;;3.1%;;3.1%;;;;;;;;;
;;23400;Physics For Life Sci II;202420;Spring 2024;001;13216;Arnold, Ian A.;29.8%;17.2%;16.0%;;9.7%;3.4%;11.8%;3.8%;1.7%;5.0%;0.4%;;0.8%;;;;;;;;;;0.4%;
;;23500;Seminar Career In Phys;202420;Spring 2024;001;18320;Arnold, Ian A.;;;;;;;;;;;;;;;;;;95.5%;;;;;4.5%;
;;24100;Electricity Optics;202420;Spring 2024;001;25748;Urba, Laura G.;20.6%;;10.3%;;34.6%;;;8.4%;;;7.5%;;;;9.3%;;;;;;;;9.3%;
;;;;;;042;18333;Urba, Laura G.;18.6%;;8.8%;;20.4%;;;18.6%;;;13.3%;;;;10.6%;;;;;;;;9.7%;
;;;;;;043;18335;Pyrak-Nolte, Laura J.;23.1%;;;;7.7%;;;30.8%;;;;;;;15.4%;;;;;;;;23.1%;
;;25200;Electr Optics Lab;202420;Spring 2024;010;12158;Chen, Penghua;25.0%;;56.3%;;;;6.3%;;;6.3%;;;;;6.3%;;;;;;;;;
;;;;;;013;12161;Razzouk, Ralph;33.3%;;53.3%;;;6.7%;;;;;;;;;6.7%;;;;;;;;;
;;27200;E&M Interactions;202420;Spring 2024;007;25780;Xie, Wei;16.4%;6.3%;17.1%;;14.1%;13.8%;7.8%;6.3%;4.1%;5.9%;1.5%;0.4%;2.2%;;2.2%;;;;;;;;1.9%;
;;;;;;008;11664;Urba, Laura G.;9.7%;9.3%;16.7%;;13.4%;6.7%;10.8%;8.9%;6.7%;5.9%;1.5%;1.5%;3.0%;;2.6%;;;;;;;;3.3%;
;;;E&M Interactions-Honors;202420;Spring 2024;H01;25787;Arnold, Ian A.;9.3%;8.1%;10.5%;;10.5%;8.1%;14.0%;10.5%;3.5%;7.0%;4.7%;1.2%;4.7%;;4.7%;;;;;;;;3.5%;
;;30700;Math Methods Phys II;202420;Spring 2024;001;60703;Caffee, Marc W.;11.1%;5.6%;;;16.7%;5.6%;11.1%;2.8%;;5.6%;16.7%;;;;11.1%;;;;;;;;13.9%;
;;32400;Research In Big Data II;202420;Spring 2024;SC1;23021;Jung, Andreas;12.9%;9.7%;61.3%;;;;;;;;;;;;;3.2%;;;;;;;12.9%;
;;34000;Modern Physics Lab;202420;Spring 2024;001;59536;Roy, Shaswata;54.5%;9.1%;9.1%;;9.1%;;;;;;;;;;;;;;;;;;18.2%;
;;;;;;002;64431;Phatak, Saumitra S.;63.6%;;18.2%;;;;;;;;;;;;18.2%;;;;;;;;;
;;;;;;003;13504;Roy, Shaswata;18.2%;;54.5%;;;;;;;;;;;;9.1%;;;;;;;;18.2%;
;;34200;Modern Physics;202420;Spring 2024;001;25805;Liang, Qiyu;12.8%;19.1%;6.4%;;10.6%;8.5%;8.5%;4.3%;6.4%;2.1%;4.3%;;2.1%;;;;;2.1%;;;;;12.8%;
;;36000;Quantum Mechanics;202420;Spring 2024;001;25807;Durbin, Stephen M.;9.5%;;19.0%;;14.3%;;9.5%;11.9%;;11.9%;9.5%;;;;7.1%;2.4%;;;;;;;4.8%;
;;41100;Phys Mech II Honors;202420;Spring 2024;H01;25808;Nolte, David D.;36.4%;9.1%;9.1%;9.1%;36.4%;;;;;;;;;;;;;;;;;;;
;;42200;Waves & Oscillations;202420;Spring 2024;001;25809;Ma, Ruichao;20.2%;13.5%;16.9%;;3.4%;4.5%;11.2%;7.9%;2.2%;7.9%;4.5%;;;;3.4%;;;;;;;;4.5%;
;;43000;Electr & Mag Honors;202420;Spring 2024;H01;43490;Liu, Miaoyuan;12.5%;6.3%;43.8%;;12.5%;;12.5%;6.3%;;;;;;;;;;;;;;;6.3%;
;;45000;Intermediate Laboratory;202420;Spring 2024;002;25812;Hung, Chen-Lung;14.3%;8.6%;40.0%;;;2.9%;8.6%;;2.9%;2.9%;;2.9%;;;11.4%;;;;;;;;5.7%;
;;46100;Quantu Mech II Honors;202420;Spring 2024;H01;43493;Banerjee, Arnab;41.7%;33.3%;8.3%;;;;16.7%;;;;;;;;;;;;;;;;;
;;51500;Thermal & Stat Physics;202420;Spring 2024;001;53914;Hirisave Shivaram, Niranjan;13.6%;13.6%;13.6%;;9.1%;18.2%;18.2%;;9.1%;;;;;;4.5%;;;;;;;;;
;;52600;Quantum Computing;202420;Spring 2024;001;20526;Lyanda-Geller, Yuli;27.3%;18.2%;27.3%;;;9.1%;9.1%;;;;;;;;;;;;;;;;9.1%;
;;53600;Electronic Tchnq Rsrch;202420;Spring 2024;001;25816;Csathy, Gabor A.;15.0%;15.0%;10.0%;;10.0%;10.0%;10.0%;;;5.0%;;;;;10.0%;;;;;;;;15.0%;
;;54500;Solid State Physics;202420;Spring 2024;001;25820;Malis, Oana;33.3%;16.7%;16.7%;16.7%;8.3%;;8.3%;;;;;;;;;;;;;;;;;
;;56000;Stellar Evolution;202420;Spring 2024;001;59279;Lee, Kyoung-Soo;27.3%;;36.4%;;;;9.1%;9.1%;9.1%;;;;;;;;;;;;;;9.1%;
;;57000;Atomic, Molec & Optical Phys I;202420;Spring 2024;009;69182;Robicheaux, Francis J.;50.0%;16.7%;27.8%;;;;;;;;;;;;;;;;;;;;5.6%;
;;;Hydrodynamics & Plasma Physics;202420;Spring 2024;010;21108;Lyutikov, Maxim Y.;5.0%;20.0%;60.0%;5.0%;;;;;;;;;;;;;;;;;;;10.0%;
;;58000;Computational Physics;202420;Spring 2024;002;26007;Wang, Fuqiang;48.1%;;;;29.6%;;;7.4%;;;3.7%;;;;7.4%;;;;;;;;3.7%;
;;61700;Statistical Mechanics;202420;Spring 2024;001;25851;Duffell, Paul C.;29.4%;14.7%;29.4%;;8.8%;5.9%;11.8%;;;;;;;;;;;;;;;;;
;;66000;Quantum Mechanics I;202420;Spring 2024;001;25855;Kruczenski, Luis M.;21.4%;;;;7.1%;21.4%;7.1%;7.1%;7.1%;;7.1%;7.1%;;;7.1%;7.1%;;;;;;;;
;;66100;Quantum Mechanics II;202420;Spring 2024;001;25856;Greene, Christopher H.;25.0%;2.8%;8.3%;;36.1%;11.1%;8.3%;2.8%;2.8%;;;;;;;;;;;;;;2.8%;
;;69600;Intro To Physics Research;202420;Spring 2024;001;16688;Csathy, Gabor A.;;;;;;;;;;;;;;;;;3.3%;96.7%;;;;;;
POL;POL-Political Science;10100;American Government;202420;Spring 2024;008;18362;Sweet, Martin J.;8.3%;16.5%;0.8%;;13.2%;13.2%;11.6%;4.1%;5.0%;5.0%;2.5%;;;;4.1%;;;;;;;;15.7%;
;;;;;;009;23859;Grubbs, Samuel J.;22.6%;19.4%;9.7%;;12.9%;6.5%;11.3%;;3.2%;4.8%;1.6%;1.6%;;;3.2%;;;;;;;;3.2%;
;;12000;Intr Pub Pol-Pub Admin;202420;Spring 2024;001;11574;Brownstein, Michael R.;8.2%;8.2%;16.4%;;13.1%;8.2%;6.6%;1.6%;3.3%;8.2%;;;4.9%;;3.3%;;;;;;;;18.0%;
;;13000;Intro To Int Reltns;202420;Spring 2024;004;11328;Haynes, Kyle E.;8.5%;2.6%;;;25.6%;12.0%;7.7%;9.4%;4.3%;13.7%;;0.9%;;;2.6%;;;;;;;;12.8%;
;;;Intro To Int Reltns-Honors;202420;Spring 2024;004;11328;Haynes, Kyle E.;;100.0%;;;;;;;;;;;;;;;;;;;;;;
;;14100;Govts Of The World;202420;Spring 2024;004;22680;Megson, John W.;12.9%;16.1%;6.5%;;8.1%;12.9%;9.7%;4.8%;6.5%;9.7%;;;;;4.8%;;;;;;;;8.1%;
;;;;;;006;13973;Megson, John W.;9.4%;13.8%;6.5%;;16.7%;10.9%;14.5%;4.3%;3.6%;8.7%;0.7%;1.4%;1.4%;;4.3%;;;0.7%;;;;;2.9%;
;;;Govts Of The World-Honors;202420;Spring 2024;004;22680;Megson, John W.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;22200;Wom Pol And Publ Pol;202420;Spring 2024;001;16281;Clawson, Rosalee A.;15.5%;11.3%;4.2%;;18.3%;11.3%;11.3%;5.6%;7.0%;5.6%;1.4%;1.4%;4.2%;;1.4%;;;;;;;;1.4%;
;;22300;Intr Environmental Pol;202420;Spring 2024;005;22682;Pijanowski, Alexander J.;39.1%;30.4%;;;6.5%;2.2%;15.2%;;;;;;2.2%;;;;;;;;;;4.3%;
;;;;;;006;14603;Kurtz, Reed M.;37.8%;19.7%;;;5.9%;2.1%;10.6%;2.7%;1.1%;3.2%;2.7%;0.5%;;;7.4%;;;;;;;;6.4%;
;;22800;Data Science And Public Policy;202420;Spring 2024;SC1;28935;Dietrich, Bryce J.;28.6%;4.8%;33.3%;;2.4%;4.8%;11.9%;;2.4%;2.4%;2.4%;;2.4%;;2.4%;;;;;;;;2.4%;
;;23100;Intro U S For Policy;202420;Spring 2024;001;13977;Callahan, Ken D.;51.2%;7.0%;23.3%;;7.0%;2.3%;2.3%;;;2.3%;2.3%;;;;;;;;;;;;2.3%;
;;;Intro U S For Policy-Honors;202420;Spring 2024;001;13977;Callahan, Ken D.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;23400;The Politics Of Terrorism;202420;Spring 2024;001;21607;Will, Melissa C.;31.2%;12.8%;11.9%;;7.3%;3.7%;15.6%;4.6%;0.9%;1.8%;0.9%;;1.8%;;3.7%;;;0.9%;;;;;2.8%;
;;23500;Rich And Poor Nations;202420;Spring 2024;002;27605;Dory, William A.;17.2%;4.6%;;;14.9%;9.2%;9.2%;10.3%;1.1%;6.9%;6.9%;;;;3.4%;;;1.1%;;;;;14.9%;
;;23700;Mod Weapons & Intl Rel;202420;Spring 2024;001;10785;Shimko, Keith L.;20.8%;16.2%;;;16.8%;7.5%;9.2%;9.2%;5.8%;4.6%;2.3%;1.2%;0.6%;;1.2%;;0.6%;0.6%;;;;;3.5%;
;;;Mod Weapons & Intl Rel-Honors;202420;Spring 2024;001;10785;Shimko, Keith L.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;30000;Intro Polit Analysis;202420;Spring 2024;005;69958;Waltenburg, Eric N.;14.6%;13.5%;28.1%;;8.3%;3.1%;4.2%;3.1%;2.1%;2.1%;2.1%;;;;9.4%;;;;;;;;9.4%;
;;32700;Global Green Politics;202420;Spring 2024;004;24375;Hall, Russell H.;16.2%;28.2%;14.5%;;8.5%;8.5%;13.7%;1.7%;0.9%;0.9%;;;1.7%;;1.7%;;;;;;;;3.4%;
;;;;;;005;14662;Kurtz, Reed M.;62.3%;15.6%;;;5.5%;1.0%;7.5%;2.0%;0.5%;;0.5%;;;;1.5%;;;0.5%;;;;;3.0%;
;;;Global Green Politics-Honors;202420;Spring 2024;005;14662;Kurtz, Reed M.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;37200;Indiana Gov & Politics;202420;Spring 2024;001;22741;Kulesza, Christopher F.;53.7%;11.1%;;;11.1%;5.6%;5.6%;;;1.9%;;1.9%;;;7.4%;;;;;;;;1.9%;
;;;Indiana Gov & Politics-Honors;202420;Spring 2024;001;22741;Kulesza, Christopher F.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;41100;Congress Structure;202420;Spring 2024;001;13980;Megson, John W.;32.3%;29.0%;12.9%;;;;19.4%;;;;;;;;;;;;;;;;6.5%;
;;41500;US Politic & The Media;202420;Spring 2024;001;12711;Hoewe, Jennifer E.;40.0%;26.7%;;;;;6.7%;;13.3%;;;;;;13.3%;;;;;;;;;
;;;US Politic & The Media-Honors;202420;Spring 2024;001;12711;Hoewe, Jennifer E.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;42300;Intl Envir Policy;202420;Spring 2024;001;27532;Kurtz, Reed M.;29.5%;29.5%;;;6.8%;4.5%;11.4%;;2.3%;2.3%;2.3%;;;;6.8%;;;;;;;;4.5%;
;;42800;Politics Of Regulation;202420;Spring 2024;001;14311;Strother, Logan R.;22.7%;18.2%;;;4.5%;6.8%;18.2%;9.1%;4.5%;4.5%;;2.3%;;;4.5%;2.3%;;;;;;;2.3%;
;;42900;Intro To Nuc & Rad Security;202420;Spring 2024;009;15993;Harris, Jason T.;41.7%;25.0%;;;8.3%;8.3%;16.7%;;;;;;;;;;;;;;;;;
;;;Research Collaboratory;202420;Spring 2024;004;29788;Waltenburg, Eric N.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
;;43000;Counter Terrorism;202420;Spring 2024;002;14004;Hustedt, Anthony D.;50.0%;15.9%;9.1%;;6.8%;;6.8%;2.3%;2.3%;;2.3%;;;;2.3%;;;;;;;;2.3%;
;;43500;International Law;202420;Spring 2024;001;16386;Dory, William A.;37.0%;25.9%;;3.7%;11.1%;3.7%;14.8%;;3.7%;;;;;;;;;;;;;;;
;;43801;International Human Rights;202420;Spring 2024;001;18387;Clark, Ann M.;36.6%;9.8%;;;26.8%;7.3%;7.3%;2.4%;;4.9%;;2.4%;;;2.4%;;;;;;;;;
;;46000;Judicial Politics;202420;Spring 2024;001;14007;Waltenburg, Eric N.;8.7%;30.4%;4.3%;;17.4%;;13.0%;4.3%;4.3%;4.3%;;;;;4.3%;;;;;;;;8.7%;
;;46100;Constitutional Law I;202420;Spring 2024;001;28461;Kampe, Linda L.;55.3%;8.5%;21.3%;;2.1%;2.1%;;2.1%;;;4.3%;;;;2.1%;;;;;;;;2.1%;
;;46200;Constitutional Law II;202420;Spring 2024;003;23540;Sweet, Martin J.;13.5%;21.6%;2.7%;;5.4%;5.4%;21.6%;8.1%;2.7%;2.7%;2.7%;;;;8.1%;;;;;;;;5.4%;
;;49100;Digital Tech & Pol;202420;Spring 2024;004;14008;Girard, Tyler J.;45.0%;25.0%;5.0%;;5.0%;5.0%;10.0%;;5.0%;;;;;;;;;;;;;;;
;;;Media, Equity, Elec Vehicles;202420;Spring 2024;006;14017;Clawson, Rosalee A.;30.0%;10.0%;;;;10.0%;30.0%;;;5.0%;;;;;;;;;;;;;15.0%;
;;;Wpns Of M Destruction;202420;Spring 2024;005;14010;Barnum, Miriam M.;27.3%;9.1%;4.5%;;4.5%;13.6%;13.6%;9.1%;;;;;;;9.1%;;;;;;;;9.1%;
;;49300;Legal Prfssn, Writing & Ethics;202420;Spring 2024;004;21055;Kampe, Linda L.;25.0%;25.0%;12.5%;;6.3%;25.0%;;;;;;;;;;;;;;;;;6.3%;
;;53200;Nuclear Strat & Proliferation;202420;Spring 2024;001;18067;Shimko, Keith L.;35.0%;25.0%;;;15.0%;;15.0%;;;;;;;;;5.0%;;;;;;;5.0%;
;;60500;Res Design Methods;202420;Spring 2024;001;25970;Cohen, Mollie J.;23.1%;23.1%;15.4%;;15.4%;;23.1%;;;;;;;;;;;;;;;;;
;;64000;Proseminar Comp Syst;202420;Spring 2024;001;17991;Baker, Andrew B.;23.1%;38.5%;;;;;38.5%;;;;;;;;;;;;;;;;;
;;68500;Professionalization Practicum;202420;Spring 2024;001;28129;Strother, Logan R.;;;;;;;;;;;;;;;;;;100.0%;;;;;;
PSY;PSY-Psychological Sciences;12000;Elementary Psychology;202420;Spring 2024;005;14926;Ward, Erin S.;57.5%;9.4%;18.6%;0.2%;1.8%;2.5%;2.3%;0.7%;0.2%;0.2%;0.2%;0.2%;0.2%;;1.4%;2.5%;;0.2%;;;;;1.6%;
;;;;;;007;15168;Hollich, George J.;25.6%;1.1%;61.6%;;4.2%;0.4%;0.2%;1.1%;;0.2%;0.2%;;;;0.9%;3.3%;;;;;;;1.1%;
;;;;;;009;16501;William, Colin T.;19.9%;12.4%;;0.2%;12.0%;8.9%;12.0%;6.7%;4.3%;6.0%;1.7%;0.5%;1.7%;;3.3%;3.6%;0.2%;0.5%;;;;;6.2%;
;;;Elementary Psychology-Honors;202420;Spring 2024;005;14926;Ward, Erin S.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;007;15168;Hollich, George J.;;;50.0%;;;;;;;;;;;;;;;50.0%;;;;;;
;;;;;;009;16501;William, Colin T.;66.7%;;;;;;;;;;;;;;;;;;;;;;33.3%;
;;20000;Intro Cogn Psych;202420;Spring 2024;007;18431;Helie, Sebastien;33.5%;9.2%;;;10.4%;7.2%;11.6%;6.0%;3.2%;6.4%;0.4%;;0.8%;;3.6%;;;;;;;;8.0%;
;;;;;;008;19690;Chiu, Yu-Chin;24.9%;12.3%;11.9%;;10.3%;6.9%;8.0%;3.4%;2.7%;4.2%;1.5%;0.4%;1.5%;;1.5%;;;0.8%;;;;;9.6%;
;;;Intro Cogn Psych-Honors;202420;Spring 2024;007;18431;Helie, Sebastien;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;20100;Intro To Stat In Psych;202420;Spring 2024;003;26387;Lim-Kessler, Corrinne C.;41.0%;7.7%;23.1%;;10.3%;;5.1%;5.1%;;2.6%;2.6%;;;;2.6%;;;;;;;;;
