Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;;;;;WNG;58862;Guariniello, Cesare;65.9%;;20.5%;;6.8%;;;6.8%;;;;;;;;;;;;;;;;
;;56700;Intro App Stoch Proc;202420;Spring 2024;001;19288;Frazho, Arthur E.;72.5%;;;;10.0%;;;12.5%;;;2.5%;;;;;;;;;;;;2.5%;
;;56800;Appl Optimal Control & Estimat;202420;Spring 2024;WNG;10116;Hwang, Inseok;43.1%;5.2%;;1.7%;31.0%;5.2%;8.6%;1.7%;;;;;;;1.7%;;;;;;;;1.7%;
;;59000;Appl Control In Astronautics;202420;Spring 2024;088;19682;Oguri, Kenshiro;17.3%;;50.0%;1.9%;9.6%;;;1.9%;;;1.9%;;;;5.8%;;;3.8%;;;;;7.7%;
;;;Comput Combust & Propuls;202420;Spring 2024;WN1;29767;Wang, Haifeng;38.3%;12.8%;2.1%;4.3%;4.3%;6.4%;21.3%;;;;2.1%;;2.1%;;;;;;;;;;6.4%;
;;;Manfacturing Of Adv Composites;202420;Spring 2024;080;22746;Pipes, R. Byron;50.0%;11.1%;16.7%;;5.6%;;11.1%;;;;;;;;;;;;;;;;;5.6%
;;;Modern Vehicle Avionics;202420;Spring 2024;085;23180;Li, Husheng;29.2%;25.0%;8.3%;;4.2%;8.3%;25.0%;;;;;;;;;;;;;;;;;
;;;Multi-Agent Autonomy & Control;202420;Spring 2024;090;22971;Mou, Shaoshuai;92.9%;;;7.1%;;;;;;;;;;;;;;;;;;;;
;;;;;;WNG;23109;Mou, Shaoshuai;80.5%;;;4.9%;4.9%;;;;;;;;;;;;;;;;;;9.8%;
;;;Satellite Constellations;202420;Spring 2024;087;23555;Arnas Martinez, David;25.0%;;;2.5%;40.0%;;;17.5%;;;5.0%;;;;7.5%;;;;;;;;2.5%;
;;;Surrogate Methods;202420;Spring 2024;084;23178;Leifsson, Leifur T.;20.7%;27.6%;;10.3%;20.7%;3.4%;13.8%;;;;3.4%;;;;;;;;;;;;;
;;64600;Elastic Wave Propaga;202420;Spring 2024;001;22913;Doyle, James F.;53.8%;;;46.2%;;;;;;;;;;;;;;;;;;;;
;;65400;Fracture Mechanics;202420;Spring 2024;WNG;18878;Tomar, Vikas;91.7%;;;;;;8.3%;;;;;;;;;;;;;;;;;
;;66600;Nonlin Dyn Syst Contrl;202420;Spring 2024;WNG;22909;Corless, Martin;82.8%;;;13.8%;;;;;;;;;;;;;;;;;;;3.4%;
;;69800;Research MS Thesis;202420;Spring 2024;036;66283;Sangid, Michael D.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;69900;Research PhD Thesis;202420;Spring 2024;007;10167;Hwang, Inseok;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;016;10176;Howell, Kathleen;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;048;19280;Mou, Shaoshuai;;;;;;;;;;;;;;;;;;;;100.0%;;;;
;;;;;;050;19282;Slabaugh, Carson D.;;;;;;;;;;;;;;;;;;;;100.0%;;;;
AAS;AAS-African American Studies;27100;Intro African American Studies;202420;Spring 2024;002;10137;Clay-Gilmore, Miron J.;;;92.9%;;;3.6%;;;;3.6%;;;;;;;;;;;;;;
;;37100;The Harlem Renaissance;202420;Spring 2024;001;15412;Tan, Mindy H.;25.9%;22.2%;11.1%;;7.4%;7.4%;11.1%;7.4%;;;3.7%;;;;;;;;;;;;3.7%;
;;;The Genius Of Huey P Newton;202420;Spring 2024;002;15423;Clay-Gilmore, Miron J.;;8.3%;75.0%;;;;;;;;;;;;;;;;;;;;16.7%;
;;;The Harlem Renaissance-Honors;202420;Spring 2024;001;15412;Tan, Mindy H.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
